Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous position kind,Previous URL,Current position kind,Current URL,Previous date,Current date
pioneer pet stainless steel drinking fountain raindrop design,US,United States,English,"Pioneer Pet (Organization), Raindrop Design (Product)",true,false,false,false,true,true,"Shopping Ads, Thumbnail, Top ads, Paid sitelinks, Discussions and forums, Image pack, Knowledge panel",70,1,0.71,9,,,,3,,Lost,,https://pioneerpet.com/fountains/stainless-steel/,,,2026-06-07 23:47:31,
pioneer pet,US,United States,English,Pioneer Pet (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Shopping, Thumbnail, Video preview",150,0,0.52,9,9,0,,1,1,,Sitelinks,https://pioneerpet.com/fountains/,Sitelinks,https://pioneerpet.com/fountains/,2026-05-18 16:35:22,2026-08-23 12:13:04
stainless steel pet fountains,US,United States,English,,false,false,false,false,true,true,"Shopping, Thumbnail, People also ask, Sitelinks",90,5,0.64,8,,,,4,,Lost,,https://pioneerpet.com/fountains/stainless-steel/,,,2026-06-17 06:51:31,
pioneer pet big max,US,United States,English,"Pioneer Pet (Organization), Big Max (Product)",true,false,false,true,true,true,"Shopping Ads, Thumbnail, AI Overview, People also ask, Sitelinks",80,1,0.31,5,7,2,,5,2,3,,https://pioneerpet.com/fountains/all-fountains/,,https://pioneerpet.com/fountains/all-fountains/,2026-05-28 12:27:13,2026-09-14 22:32:00
cat water fountain stainless steel,US,United States,English,,false,false,false,true,true,true,"Shopping Ads, Thumbnail, Top ads, Paid sitelinks, Shopping, Sitelinks, Videos, Bottom ads, Video preview, Image pack",1700,12,0.64,7,,,,16,,Lost,,https://pioneerpet.com/fountains/stainless-steel/,,,2026-06-08 12:16:19,
pioneer pet swan drinking fountain,US,United States,English,"Pioneer Pet (Organization), Pioneer Pet Swan Plastic Drinking Fountain (Product)",true,false,false,true,true,true,"Videos, Knowledge panel, Sitelinks, Video preview",50,0,0.35,7,,,,3,,Lost,,https://pioneerpet.com/fountains/,,,2026-05-29 23:28:18,
pet drinking fountains,US,United States,English,,false,false,false,true,true,true,"Shopping, Thumbnail, People also ask, Sitelinks, Top stories, Video preview",60,9,0.00,5,6,1,,4,4,,,https://pioneerpet.com/fountains/,,https://pioneerpet.com/fountains/,2026-05-16 22:10:31,2026-06-30 13:29:49
stainless steel cat water fountain,US,United States,English,,false,false,false,false,true,true,"Top ads, Paid sitelinks, Shopping, Thumbnail, People also ask, Discussions and forums, Video preview, Sitelinks, Image pack",2300,8,0.66,6,,,,16,,Lost,,https://pioneerpet.com/fountains/stainless-steel/,,,2026-06-15 12:05:58,
ceramic fountain for cats,US,United States,English,,false,false,false,true,true,true,"Shopping, Thumbnail, Sitelinks, Image pack",40,1,0.00,6,6,0,,2,2,,,https://pioneerpet.com/fountains/ceramic/,,https://pioneerpet.com/fountains/ceramic/,2026-06-17 04:42:36,2026-06-17 04:42:36
stainless steel cat fountain,US,United States,English,,false,false,false,false,true,true,"Shopping, Thumbnail, People also ask, Sitelinks, Bottom ads, Image pack, Video preview, Paid sitelinks",700,1,0.66,6,,,,10,,Lost,,https://pioneerpet.com/fountains/stainless-steel/,,,2026-06-10 12:54:16,
pet fountains,US,United States,English,,false,false,false,true,true,true,"Shopping, Thumbnail, People also ask, Sitelinks, AI Overview, Top stories",150,26,0.53,16,5,-10,,3,7,'-4,,https://pioneerpet.com/fountains/,,https://pioneerpet.com/fountains/,2026-06-18 09:27:57,2026-09-19 06:16:41
stainless steel fountain,US,United States,English,,false,false,false,true,true,true,"Shopping, Thumbnail, Image pack, Sitelinks, People also ask, Top stories, Video preview",100,0,0.57,5,,,,6,,Lost,,https://pioneerpet.com/fountains/stainless-steel/,,,2026-05-19 19:39:17,
fountain water bowl,US,United States,English,,false,false,false,true,true,true,"Shopping, Thumbnail, People also ask, Sitelinks, Top stories",80,17,0.00,,5,,,,6,New,,,,https://pioneerpet.com/fountains/,,2026-09-15 12:58:45
cat dog water fountain,US,United States,English,,false,false,false,true,true,true,"Shopping, Thumbnail, People also ask, Sitelinks, Video preview, Videos",30,7,0.37,4,,,,3,,Lost,,https://pioneerpet.com/fountains/,,,2026-05-23 20:02:45,
pioneer pet drinking fountain raindrop,US,United States,English,"Pioneer Pet (Organization), Pioneer Pet Raindrop Ceramic Pet drinking fountain (Product)",true,false,false,false,true,true,"Shopping, Thumbnail, People also ask, Discussions and forums",10,3,0.53,2,4,3,,2,1,1,,https://pioneerpet.com/fountains/ceramic/,,https://pioneerpet.com/fountains/all-fountains/,2026-05-24 01:55:58,2026-08-13 14:18:21
pioneer pet big max ceramic drinking fountain,US,United States,English,"Pioneer Pet (Organization), Big Max Ceramic Drinking Fountain (Product)",true,false,false,true,true,true,"AI Overview, Thumbnail, People also ask, Video preview",30,1,,6,3,-3,,2,4,'-2,,https://pioneerpet.com/fountains/ceramic/,,https://pioneerpet.com/fountains/all-fountains/,2026-05-17 16:34:47,2026-08-16 00:57:24
best cat water fountain made in usa,US,United States,English,United States (Location),false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview, Shopping",40,6,0.32,3,,,,1,,Lost,AI Overview,https://pioneerpet.com/fountains/,,,2026-06-11 10:35:20,
pet water fountain stainless steel,US,United States,English,,false,false,false,false,true,true,"Shopping, Thumbnail, Discussions and forums, People also ask, Bottom ads, Paid sitelinks",200,1,0.71,3,,,,11,,Lost,,https://pioneerpet.com/fountains/stainless-steel/,,,2026-05-14 16:49:38,
stainless steel cat fountains,US,United States,English,,false,false,false,false,true,true,"Shopping, Thumbnail, People also ask, Sitelinks",90,8,0.00,3,3,0,,10,10,,,https://pioneerpet.com/fountains/stainless-steel/,,https://pioneerpet.com/fountains/stainless-steel/,2026-06-16 12:22:58,2026-06-16 12:22:58
water fountain pets,US,United States,English,,false,false,false,true,true,true,"Shopping, Thumbnail, AI Overview, Sitelinks, Top stories, Video preview, Local pack, Bottom ads, Paid sitelinks",40,13,0.00,3,,,,2,,Lost,AI Overview,https://pioneerpet.com/fountains/,,,2026-06-11 02:05:25,
water bowl fountain,US,United States,English,,false,false,false,true,true,true,"Shopping, Thumbnail, Sitelinks, People also ask, Top stories",100,10,0.39,,3,,,,9,New,,,,https://pioneerpet.com/fountains/,,2026-09-12 11:07:23
ceramic cat water fountains,US,United States,English,,false,false,false,true,true,true,"Shopping Ads, Thumbnail, Top ads, Image pack, Shopping, Bottom ads, Paid sitelinks",50,7,0.44,2,,,,5,,Lost,,https://pioneerpet.com/fountains/ceramic/,,,2026-05-18 21:44:23,
ceramic water fountain for pets,US,United States,English,,false,false,false,false,true,true,"Shopping, Thumbnail, Discussions and forums, Image pack",20,0,0.00,2,,,,3,,Lost,,https://pioneerpet.com/fountains/ceramic/,,,2026-05-18 15:48:08,
water fountain for cats stainless steel,US,United States,English,,false,false,false,false,true,true,"Shopping, Thumbnail, Sitelinks, People also ask, Discussions and forums",100,5,0.48,,2,,,,12,New,,,,https://pioneerpet.com/fountains/stainless-steel/,,2026-06-29 20:29:53
pioneer pet drinking fountain,US,United States,English,Pioneer Pet (Organization),true,false,false,true,true,true,"Sitelinks, Video preview",10,0,0.39,3,2,-1,,1,1,,,https://pioneerpet.com/fountains/all-fountains/,,https://pioneerpet.com/fountains/,2026-05-09 11:44:09,2026-06-27 22:40:06
stainless pet water fountain,US,United States,English,,false,false,false,false,true,true,"Shopping, Thumbnail, Sitelinks",50,6,0.36,,2,,,,9,New,,,,https://pioneerpet.com/fountains/stainless-steel/,,2026-07-18 00:46:36
pet water fountain,KR,South Korea,English,,false,false,false,true,true,true,,10,10,,2,,,,4,,Lost,,https://pioneerpet.com/fountains/,,,2026-06-05 15:31:37,
pet cat water fountain,US,United States,English,,false,false,false,true,true,true,"Shopping, Thumbnail, People also ask, Top stories, Video preview, Sitelinks, Videos",20,7,0.44,2,,,,4,,Lost,,https://pioneerpet.com/fountains/,,,2026-05-25 11:21:31,
pioneer pet fountain filter,US,United States,English,"Pioneer Pet (Organization), Pioneer Pet fountain (Product), Pioneer Pet fountain filter (Product)",true,false,false,false,true,true,"Shopping, Thumbnail, People also ask, Video preview, Sitelinks",50,0,0.60,,2,,,,8,New,,,,https://pioneerpet.com/fountains/all-fountains/,,2026-08-19 21:55:02
metal pet water fountain,US,United States,English,,false,false,false,false,true,true,"Shopping Ads, Thumbnail, Shopping, People also ask",30,9,0.31,1,2,1,,11,6,5,,https://pioneerpet.com/fountains/stainless-steel/,,https://pioneerpet.com/fountains/stainless-steel/,2026-05-24 04:37:28,2026-08-10 03:51:43
pioneer pet raindrop fountain,CA,Canada,English,"Pioneer Pet (Organization), Raindrop Fountain (Product)",true,false,false,true,true,true,"Shopping, Thumbnail, Discussions and forums, People also ask, Image pack",80,0,0.29,5,2,-4,,4,9,'-5,,https://pioneerpet.com/fountains/all-fountains/,,https://pioneerpet.com/fountains/all-fountains/,2026-05-15 13:07:16,2026-08-05 17:14:48
stainless cat fountain,US,United States,English,,false,false,false,false,true,true,"Shopping, Thumbnail, People also ask, Sitelinks, Top stories, Video preview",100,8,0.64,2,,,,12,,Lost,,https://pioneerpet.com/fountains/stainless-steel/,,,2026-05-28 19:37:25,
ceramic pet fountain,CA,Canada,English,,false,false,false,true,true,true,"Shopping, Thumbnail, People also ask, Image pack, Video preview",30,1,0.38,1,,,,5,,Lost,,https://pioneerpet.com/fountains/ceramic/,,,2026-05-19 12:12:48,
pet water fountain ceramic,US,United States,English,,false,false,false,false,true,true,"Shopping, Thumbnail, People also ask, Sitelinks, Image pack",30,5,0.46,2,1,-1,,3,5,'-2,,https://pioneerpet.com/fountains/ceramic/,,https://pioneerpet.com/fountains/ceramic/,2026-05-17 14:29:21,2026-08-18 21:17:09
ceramic pet drinking fountain,US,United States,English,,false,false,false,false,true,true,"Shopping Ads, Thumbnail, Shopping, People also ask, Sitelinks, Video preview, Top stories",10,3,0.38,3,1,-1,,1,4,'-3,,https://pioneerpet.com/fountains/ceramic/,,https://pioneerpet.com/fountains/ceramic/,2026-05-26 06:50:06,2026-08-25 04:09:26
ceramic cat fountains,US,United States,English,,false,false,false,true,true,true,"Sitelinks, People also ask, Top stories, Thumbnail, Video preview, Shopping, Bottom ads",50,7,0.64,1,,,,9,,Lost,,https://pioneerpet.com/fountains/ceramic/,,,2026-05-20 19:37:44,
steel fountain,US,United States,English,,false,false,false,true,true,true,"Image pack, Shopping, Thumbnail, Sitelinks, People also ask, Video preview",30,1,0.45,,1,,,,6,New,,,,https://pioneerpet.com/fountains/stainless-steel/,,2026-06-29 17:59:08
npet water fountain,US,United States,English,NPET (Organization),true,false,false,true,true,true,"Shopping, Thumbnail, Sitelinks, People also ask, Image pack, Video preview, Bottom ads, Paid sitelinks",60,1,0.22,1,1,0,,9,9,,,https://pioneerpet.com/fountains/,,https://pioneerpet.com/fountains/,2026-06-15 03:33:30,2026-06-15 03:33:30
pioneer pet,CA,Canada,English,Pioneer Pet (Organization),true,false,true,true,true,true,"Sitelinks, Shopping, Thumbnail, People also ask, Video preview",50,0,0.31,1,1,0,,1,1,,Sitelinks,https://pioneerpet.com/fountains/,Sitelinks,https://pioneerpet.com/fountains/,2026-06-19 08:38:06,2026-07-26 12:46:04
ceramic drinking fountain,US,United States,English,,false,false,false,false,true,true,"Shopping, Thumbnail, People also ask, Image pack, Video preview, Sitelinks, Top stories",10,1,0.24,2,1,-1,,2,4,'-2,,https://pioneerpet.com/fountains/ceramic/,,https://pioneerpet.com/fountains/ceramic/,2026-05-21 04:07:00,2026-08-21 01:45:19
stainless steel drinking fountain for cats,US,United States,English,,false,false,false,false,true,true,"Top ads, Paid sitelinks, Shopping, Thumbnail, People also ask, Top stories, Video preview",20,4,0.55,1,,,,6,,Lost,,https://pioneerpet.com/fountains/stainless-steel/,,,2026-05-26 05:13:32,
pet waterfountain,US,United States,English,,false,false,false,true,true,true,"Shopping, Thumbnail, People also ask, Sitelinks, Local pack, Top stories, Video preview, Bottom ads, Paid sitelinks",10,8,0.00,1,,,,5,,Lost,,https://pioneerpet.com/fountains/,,,2026-06-14 14:55:05,
pioneer pet fountain parts,US,United States,English,"Pioneer Pet (Organization), Pioneer Pet fountain (Product), Pioneer Pet fountain replacement parts (Product)",true,false,false,false,true,true,"Thumbnail, Shopping, People also ask, Sitelinks, Video preview",10,0,0.39,2,1,-1,,2,5,'-3,,https://pioneerpet.com/fountains/accessories/,,https://pioneerpet.com/fountains/accessories/,2026-06-08 17:54:43,2026-09-05 14:12:05
fountain cat,US,United States,English,,false,false,false,true,true,true,"Shopping, Thumbnail, Image pack, People also ask, Sitelinks, Top stories, Video preview",60,10,,1,,,,11,,Lost,,https://pioneerpet.com/fountains/,,,2026-05-21 02:41:57,
pioneer pet swan fountain,US,United States,English,"Pioneer Pet (Organization), Pioneer Pet Swan Plastic Drinking Fountain (Product)",true,false,false,true,true,true,"AI Overview, Thumbnail, Knowledge panel, People also ask",10,2,0.32,1,1,0,,2,2,,,https://pioneerpet.com/fountains/all-fountains/,,https://pioneerpet.com/fountains/all-fountains/,2026-06-11 07:54:52,2026-08-07 23:13:34
pioneer pet swan drinking fountain,CA,Canada,English,"Pioneer Pet (Organization), Pioneer Pet Swan (Product)",true,false,false,false,true,true,"Shopping, Thumbnail, People also ask, Discussions and forums, Image pack",20,0,0.34,,1,,,,8,New,,,,https://pioneerpet.com/fountains/all-fountains/,,2026-08-25 00:48:11
pet fountain ceramic,US,United States,English,,false,false,false,true,true,true,"Shopping Ads, Thumbnail, Shopping, People also ask, Image pack, Top stories",20,5,0.37,,1,,,,6,New,,,,https://pioneerpet.com/fountains/ceramic/,,2026-08-14 20:01:54
pet fountains,CA,Canada,English,,false,false,false,true,true,true,"Shopping, Thumbnail, People also ask, Sitelinks",10,10,0.43,0,1,0,,7,5,2,,https://pioneerpet.com/fountains/,,https://pioneerpet.com/fountains/,2026-06-06 10:17:24,2026-08-19 01:46:18
animal water fountains,US,United States,English,,false,false,false,true,true,true,"AI Overview, Thumbnail, Shopping, People also ask, Sitelinks, Image pack",30,18,0.00,1,,,,8,,Lost,,https://pioneerpet.com/fountains/,,,2026-06-10 11:39:11,
cat fountains ceramic,US,United States,English,,false,false,false,true,true,true,"Top ads, Paid sitelinks, Shopping, Thumbnail, People also ask, Sitelinks, Image pack, Bottom ads",10,3,0.71,1,,,,2,,Lost,,https://pioneerpet.com/fountains/ceramic/,,,2026-06-09 00:54:51,
stainless steel fountains,US,United States,English,,false,false,false,true,true,true,"Shopping, Thumbnail, People also ask, Image pack, Sitelinks, Video preview, Top stories",50,0,0.50,,1,,,,13,New,,,,https://pioneerpet.com/fountains/stainless-steel/,,2026-08-24 22:05:07
pet watering fountains,US,United States,English,,false,false,false,true,true,true,"Shopping, Thumbnail, AI Overview, Sitelinks, Top stories, Video preview, Local pack",20,14,,1,,,,2,,Lost,AI Overview,https://pioneerpet.com/fountains/,,,2026-06-15 13:02:48,
pioneer pet fountain pump,US,United States,English,"Pioneer Pet (Organization), Pioneer Pet fountain pump (Product)",true,false,false,true,true,true,"Video preview, People also ask",20,0,0.34,,0,,,,10,New,,,,https://pioneerpet.com/fountains/stainless-steel/,,2026-07-28 20:46:31
pioneer pet litter,US,United States,English,Pioneer Pet (Organization),true,false,false,true,true,true,"Sitelinks, People also ask, Video preview",10,1,0.55,0,,,,5,,Lost,,https://pioneerpet.com/fountains/,,,2026-05-23 02:46:05,
pioneer pet products,US,United States,English,"Pioneer Pet (Organization), Pioneer Pet products (Product)",true,false,false,true,true,true,Sitelinks,50,0,0.31,0,,,,1,,Lost,Sitelinks,https://pioneerpet.com/fountains/,,,2026-05-27 14:02:10,
stainless steel pet drinking fountain,US,United States,English,,false,false,false,false,true,true,"Shopping, Thumbnail, People also ask, Sitelinks",20,1,0.32,0,,,,12,,Lost,,https://pioneerpet.com/fountains/stainless-steel/,,,2026-05-21 14:19:21,
pioneer pet swan cat drinking fountain,US,United States,English,"Pioneer Pet (Organization), Pioneer Pet Swan Plastic Pet Water Fountain (Product)",true,false,false,true,true,true,"People also ask, Knowledge panel, Sitelinks",0,2,0.36,1,0,0,,1,3,'-2,,https://pioneerpet.com/fountains/all-fountains/,,https://pioneerpet.com/fountains/all-fountains/,2026-06-20 06:47:00,2026-09-18 12:16:09
pioneer pet swan pet drinking fountain,US,United States,English,"Pioneer Pet (Organization), Swan Pet Drinking Fountain (Product)",true,false,false,false,true,true,"Shopping, Thumbnail, Videos, People also ask",0,3,0.24,0,0,0,,3,4,'-1,,https://pioneerpet.com/fountains/all-fountains/,,https://pioneerpet.com/fountains/all-fountains/,2026-05-16 00:07:54,2026-08-21 01:43:47
pioneer pet filter,US,United States,English,"Pioneer Pet (Organization), Pioneer Pet filter (Product)",true,false,false,false,true,true,"Shopping Ads, Thumbnail, Shopping, Video preview",10,0,,0,,,,8,,Lost,,https://pioneerpet.com/fountains/accessories/,,,2026-05-25 23:18:38,
pioneer pet swan fountain filters,US,United States,English,"Pioneer Pet (Organization), Pioneer Pet Swan (Product), Pioneer Pet Swan fountain filter (Product)",true,false,false,false,true,true,"Sitelinks, Video preview, Knowledge panel, People also ask",10,0,0.32,,0,,,,11,New,,,,https://pioneerpet.com/fountains/all-fountains/,,2026-07-20 23:25:20
water pet fountain,US,United States,English,,false,false,false,true,true,true,"Top ads, Paid sitelinks, Shopping, Thumbnail, Image pack, People also ask, Video preview",20,27,0.47,0,,,,13,,Lost,,https://pioneerpet.com/fountains/,,,2026-06-10 11:49:39,
swan pet fountain,US,United States,English,Pioneer Pet Swan Pet Drinking Fountain (Product),true,false,false,true,true,true,"Thumbnail, Shopping, Sitelinks, Image pack, People also ask, Bottom ads, Paid sitelinks",0,0,0.25,0,,,,3,,Lost,,https://pioneerpet.com/fountains/all-fountains/,,,2026-05-13 15:08:02,
drinking fountain swan by pioneer pet,CA,Canada,English,Pioneer Pet (Organization),true,false,false,false,true,true,"People also ask, Sitelinks, Shopping, Thumbnail, Image pack",0,0,0.26,0,,,,9,,Lost,,https://pioneerpet.com/fountains/all-fountains/,,,2026-05-11 04:28:56,
drinking fountain swan by pioneer pet,US,United States,English,"Pioneer Pet (Organization), Swan Pet Drinking Fountain (Product)",true,false,false,false,true,true,"AI Overview, Thumbnail, Shopping, Knowledge panel, People also ask, Video preview",0,1,0.29,0,0,0,,6,7,'-1,,https://pioneerpet.com/fountains/,,https://pioneerpet.com/fountains/all-fountains/,2026-05-19 03:28:06,2026-08-24 15:51:21
pioneer cat,US,United States,English,Pioneer Cat (Work),false,false,false,true,true,false,"Sitelinks, Video preview, Shopping, Thumbnail, People also ask",20,0,0.93,0,,,,4,,Lost,Sitelinks,https://pioneerpet.com/fountains/,,,2026-05-23 19:45:00,
swan cat fountain,US,United States,English,Swan Pet Drinking Fountain (Product),true,false,false,true,true,true,"Shopping, Thumbnail, People also ask, AI Overview, Sitelinks, Bottom ads",0,0,0.26,0,0,0,,4,9,'-5,,https://pioneerpet.com/fountains/all-fountains/,,https://pioneerpet.com/fountains/all-fountains/,2026-05-07 12:44:15,2026-09-19 11:09:17
pioneer pet fung shui drinking fountain,US,United States,English,"Pioneer Pet (Organization), Fung Shui (Product)",true,false,false,false,true,true,"Shopping, Thumbnail, Knowledge panel, People also ask, Video preview",0,0,,0,0,0,,2,7,'-5,,http://pioneerpet.com/fountains/plastic/?type=list,,https://pioneerpet.com/fountains/plastic/,2026-06-02 21:29:16,2026-08-20 14:50:53
swan drinking fountain,US,United States,English,Pioneer Pet Swan Pet Drinking Fountain (Product),true,false,false,true,true,true,"Shopping, Thumbnail, Image pack",0,0,0.00,0,,,,2,,Lost,,https://pioneerpet.com/fountains/all-fountains/,,,2026-06-16 13:58:16,
pioneer pet big max drinking fountain,US,United States,English,"Pioneer Pet (Organization), Big Max (Product)",true,false,false,true,true,true,"People also ask, Sitelinks",0,1,0.35,0,0,0,,2,3,'-1,,https://pioneerpet.com/fountains/all-fountains/,,https://pioneerpet.com/fountains/all-fountains/,2026-06-02 14:17:23,2026-09-18 11:27:18
